x,l,forward,backward,abs_diff_forward_backward
0.10000000000000001,0,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
0.10000000000000001,1,1.00000000000000006e-01,-1.98766513205124062e+00,2.08766513205124049e+00
0.10000000000000001,2,-4.84999999999999987e-01,-7.98149769807686149e-01,3.13149769807686162e-01
0.10000000000000001,3,-1.47500000000000020e-01,1.19208512639954600e+00,1.33958512639954597e+00
0.10000000000000001,4,3.37937500000000002e-01,8.07227224475685179e-01,4.69289724475685177e-01
0.10000000000000001,5,1.78828750000000036e-01,-8.08367200714013467e-01,9.87195950714013559e-01
0.10000000000000001,6,-2.48829312499999983e-01,-8.20890007193973537e-01,5.72060694693973582e-01
0.10000000000000001,7,-1.99492943750000040e-01,5.40435170704559154e-01,7.39928114454559194e-01
0.10000000000000001,8,1.80320721484374974e-01,8.19610350801831866e-01,6.39289629317456920e-01
0.10000000000000001,9,2.11387641835937501e-01,-3.25571529919262137e-01,5.36959171755199582e-01
0.10000000000000001,10,-1.22124997387109357e-01,-7.99507906406308533e-01,6.77382909019199175e-01
0.10000000000000001,11,-2.15485355715664073e-01,1.43340790521761186e-01,3.58826146237425259e-01
0.10000000000000001,12,7.06465544260146128e-02,7.60355899055787043e-01,6.89709344629772403e-01
0.10000000000000001,13,2.12495434973308139e-01,1.39077124137179618e-02,1.98587722559590174e-01
0.10000000000000001,14,-2.46191095078755681e-02,-7.03362561729156677e-01,6.78743452221281074e-01
0.10000000000000001,15,-2.03088767146610200e-01,-1.48963960187107058e-01,5.41248069595031411e-02
0.10000000000000001,16,-1.62680334710223785e-02,6.30540634334832428e-01,6.46808667805854776e-01
0.10000000000000001,17,1.87984456699493485e-01,2.62600438605803566e-01,7.46159819063100804e-02
0.10000000000000001,18,5.19167870808670967e-02,-5.44449402698435558e-01,5.96366189779302669e-01
0.10000000000000001,19,-1.67980426757456558e-01,-3.54803720257298671e-01,1.86823293499842114e-01
0.10000000000000001,20,-8.20771309445277597e-02,4.48040207113340472e-01,5.30117338057868204e-01
0.10000000000000001,21,1.43956776108407958e-01,4.25382821633841390e-01,2.81426045525433433e-01
0.10000000000000001,22,1.06483358504601694e-01,-3.44531737107028724e-01,4.51015095611630445e-01
0.10000000000000001,23,-1.16864085265837706e-01,-4.74296299692440970e-01,3.57432214426603279e-01
0.10000000000000001,24,-1.24932435264803188e-01,2.37293222704466122e-01,3.62225657969269310e-01
0.10000000000000001,25,8.77027645433027803e-02,5.01833919354818581e-01,4.14131154811515800e-01
0.10000000000000001,26,1.37330576184266306e-01,-1.29729906880849177e-01,2.67060483065115484e-01
0.10000000000000001,27,-5.74970305314541005e-02,-5.08712978136806826e-01,4.51215947605352719e-01
0.10000000000000001,28,-1.43719972317792433e-01,2.51709323582317915e-02,1.68890904676024217e-01
0.10000000000000001,29,2.72659659541137217e-02,4.96118541457672868e-01,4.68852575503559132e-01
0.10000000000000001,30,1.44291613211508379e-01,7.32380785403849155e-02,7.10535346711234639e-02
0.10000000000000001,31,2.00644716021901662e-03,-4.65703353697865696e-01,4.67709800858084723e-01
0.10000000000000001,32,-1.39387481013980630e-01,-1.62634736345265207e-01,2.32472553312845776e-02
0.10000000000000001,33,-2.94007556278146273e-02,4.19557016123862980e-01,4.48957771751677615e-01
0.10000000000000001,34,1.29494170904558892e-01,2.40528773747753971e-01,1.11034602843195079e-01
0.10000000000000001,35,5.40895848739186835e-02,-3.60151143124338269e-01,4.14240727998256952e-01
0.10000000000000001,36,-1.15229442473742741e-01,-3.04877227704283105e-01,1.89647785230540378e-01
0.10000000000000001,37,-7.53621617707944530e-02,2.90265875411754359e-01,3.65628037182548826e-01
0.10000000000000001,38,9.73229778486190272e-02,3.54143460280174516e-01,2.56820482431555475e-01
0.10000000000000001,39,9.26448481211424452e-02,-2.12902528756136467e-01,3.05547376877278898e-01
0.10000000000000001,40,-7.65925458984779151e-02,-3.87338123202507212e-01,3.10745577304029297e-01
0.10000000000000001,41,-1.05516915771301678e-01,1.31186886641589034e-01,2.36703802412890713e-01
0.10000000000000001,42,5.39167614508521478e-02,4.04040814533999593e-01,3.50124053083147424e-01
0.10000000000000001,43,1.13720998482021246e-01,-4.82674957071568267e-02,1.61988494189178073e-01
0.10000000000000001,44,-3.02056376271149438e-02,-4.04401869036687400e-01,3.74196231409572477e-01
0.10000000000000001,45,-1.17167869068672395e-01,-3.27868182958137300e-02,8.43810507728586651e-02
0.10000000000000001,46,6.37013227598377460e-03,3.89124436090413639e-01,3.82754303814429875e-01
0.10000000000000001,47,1.15935408666501677e-01,1.09086189303154849e-01,6.84921936334682846e-03
0.10000000000000001,48,1.67081284450110133e-02,-3.59427702038947305e-01,3.76135830483958322e-01
0.10000000000000001,49,-1.10261852450519865e-01,-1.78011955027126995e-01,6.77501025766071296e-02
0.10000000000000001,50,-3.82058126613137317e-02,3.16992780902797200e-01,3.55198593564110932e-01
0.5,0,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00
0.5,1,5.00000000000000000e-01,-7.32414422606569548e+00,7.82414422606569548e+00
0.5,2,-1.25000000000000000e-01,-5.99310816954927184e+00,5.86810816954927184e+00
0.5,3,-4.37500000000000000e-01,-1.11493990580595864e-01,3.26006009419404164e-01
0.5,4,-2.89062500000000000e-01,4.39727388540393349e+00,4.68633638540393349e+00
0.5,5,8.98437500000000000e-02,4.04674168932801681e+00,3.95689793932801681e+00
0.5,6,3.23242187500000000e-01,4.51183107140717063e-02,2.78123876785928315e-01
0.5,7,2.23144531250000056e-01,-3.42674015947523358e+00,3.64988469072523358e+00
0.5,8,-7.36389160156249445e-02,-3.25204742138284431e+00,3.17840850536721931e+00
