N,pi_estimate,absolute_error,one_over_sqrt_N
100,3.0800000000000001,0.061592653589793045,0.10000000000000001
1000,3.2160000000000002,0.074407346410207076,0.031622776601683791
10000,3.1536,0.012007346410206843,0.01
100000,3.1442800000000002,0.0026873464102070699,0.003162277660168379
1000000,3.1407120000000002,0.00088065358979294572,0.001
